Id,Sentiment,Pasangan Calon,Text Tweet,Buzzer/Not,PIC
162,positive,Agus-Sylvi,"kalau dilihat upaya Demokrat mengenalkan AHY cukup berhasil di Pilkada Jakarta, dan sekarang AHY sudah mulai blusukan ke seluruh Indonesia",Not,Jasson
163,positive,Agus-Sylvi,"@AHY prinsip kepemimpinan, memenangkan sebuah Pilkada, belajar terus dan sangat dinamis. @hildathawilla @Panti_silaban",Buzzer,Jasson
164,positive,Agus-Sylvi,"Pilihan warga jkt Mayoritas bukan pada ahok, tapi calon selain ahok, terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies",Buzzer,Jasson
165,positive,Agus-Sylvi,"Lewat Akun Instagram, AHY Ucapkan Selamat Kepada Paslon Pemenang Pilkada DKI Jakarta",Not,Jasson
166,positive,Agus-Sylvi,Menyeberangi Selat Malaka. Aiman KompasTV yang mendapat kesempatan pertama mewawancarai AHY usai Pilkada DKI @Rosianna766Hi,Not,Jasson
167,positive,Agus-Sylvi,AHY Sebut Pilkada DKI Berjalan Bermartabat,Not,Jasson
168,positive,Agus-Sylvi,"Salam kagum buat AHY. Masih muda, berani pensiun dini, berani menantang ahok di pilkada, disaat semua pada takut, termasuk @ridwankamil",Not,Jasson
169,positive,Agus-Sylvi,Pilkada DKI berdoa AHY menang. Mudah-mudahan Anies Sandi yang menang.,Buzzer,Jasson
170,positive,Agus-Sylvi,"soal mental kalah Pilkada, Indonesia harus berguru pada sosok AHY.",Not,Jasson
171,positive,Agus-Sylvi,"LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,",Not,Jasson
172,positive,Agus-Sylvi,"sehabis pilkada,pileg dan pilpres saya harap AHY menjadi ketua DPR @AgusYudhoyono",Buzzer,Jasson
173,positive,Agus-Sylvi,Sebentar lagi kita lupakan kegilaan pilkada DKI. Mari berlari bersama AHY. Kita mulai dari Kepri 23 April,Buzzer,Jasson
174,positive,Agus-Sylvi,"Saya bilang PASTI MENANG karena bentuk keyakinan akan keberhasilan goal goal LAIN dari IMPROVISASI politik Pak SBY & Pak AHY,di Pilkada DKI.",Buzzer,Jasson
175,positive,Agus-Sylvi,semoga Anies menang pilkada dan AHY jadi presiden Indonesia 2019 Aamiin YRA klop dah!@AgusYudhoyono,Buzzer,Jasson
176,positive,Agus-Sylvi,"@SBYudhoyono setelah pilkada DKI, AHY jadi sangat diperhitungkan. Diharapkan dia bisa menjadi pemimpin RI selanjutnya",Not,Jasson
177,positive,Agus-Sylvi,saya pikir target AHY dalam pilkada kemarin adalah untuk membangun sentimen positif,Not,Jasson
178,positive,Agus-Sylvi,"Jadi, tolong hargai sikap saya dan beberapa pendukung AHY yang memilih bersikap netral di putaran kedua Pilkada DKI 2017 ini.",Not,Jasson
179,positive,Agus-Sylvi,Pilkada Rasa Pilkades kata mas @panca66 tidak ada AHY tidak rame,Not,Jasson
180,positive,Agus-Sylvi,di pilkada putaran pertama kemarin saya membuat kaos AHY sendiri untuk dibagi-bagikan dilingkungan saya Utan Kayu Jaktim.,Buzzer,Jasson
181,positive,Agus-Sylvi,"tetap semangat dukung AHY-Sylvi sampai pilkada terlaksana, yakin dan tentukan pilihan anda kepada yang pro rakyat.",Buzzer,Jasson
182,positive,Agus-Sylvi,Salah satu cara AHY-Silvy menang pilkada itu mudah. Ibu silvy naik mio tidak memakai helm keliling komplek saat pemilihan Dijamin pada segan,Buzzer,Jasson
183,positive,Agus-Sylvi,Maju terus AHY-Silvy dan Anies-Sandi BerSATU bersama menangkan pilkada DKI #pilihpemimpinmuslim #Debat2PilkadaDKI,Buzzer,Jasson
184,positive,Agus-Sylvi,Kita tunggu kualitas jiwa Anies Sandi..apa ucapan atas peran suara loyalis AHY-Silvy dalam kemenangan pilkada ini #BasukiKeokMasukBui,Not,Jasson
185,positive,Agus-Sylvi,"Terimakasih AHY-SILVY, tanpa kalian jakarta tidak akan mempunyai gubernur baru",Not,Jasson
186,positive,Agus-Sylvi,saya lebih ke #AgusSilvy,Not,Jasson
187,positive,Agus-Sylvi,Cakeeepppp....#bersatunya pendukung #AniesSandi dan #agussilvy,Not,Jasson
188,positive,Agus-Sylvi,Jangan lupa pilih paslon no. 1 #AgusSilvy #ForRI1 https://twitter.com/Ruchan_JKT48/status/830605267070902274,Buzzer,Jasson
189,positive,Agus-Sylvi,Sinyal Positif Agus-Sylvi Merapat ke Anies-Sandi #PilkadaDKIJakarta #agussilvy https://www.harianbernas.com/berita-32894-Sinyal-Positif,Not,Jasson
190,positive,Agus-Sylvi,@ArainsanR @fadlizon @AhyFansclub @AniesSandiNo3 @Gerindra @PDemokrat SIAP RAPATKAN BARISAN SEMUA! SATU KOMANDO #agussilvy,Not,Jasson
191,positive,Agus-Sylvi,"@AhyFansclub Kalau putaran 2 ,, SIAP RAPAT KAN BARISAN SEMUA ! SATU KOMANDO ! #aniessandi #agussilvy",Not,Jasson
192,positive,Agus-Sylvi,"Mengakui kekalahan, apapun itu tujuannya tapi great applause lah. Patut ditiru untuk demokrasi yang positif #AgusSilvy",Not,Jasson
193,positive,Agus-Sylvi,Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI,Not,Jasson
194,positive,Agus-Sylvi,"baru quick count,Ttp kalau hasil kpud benar sampai 2putaran SIAP RAPAT KAN BARISAN SEMUA! SATU KOMANDO! #aniessandi #agussilvy",Not,Jasson
195,positive,Agus-Sylvi,"youtu.be/bxrZD69u61A  tenang, bening, ..dan tulus. Mas Agus, mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy",Not,Jasson
196,positive,Agus-Sylvi,Mari beri masukan & kritik yang membangun bagi yang kalah dalam pertandingan. #PilkadaSerentak2017 #ahokdjarot #agussilvy #AniesSandi,Not,Jasson
197,positive,Agus-Sylvi,Apapun hasilnya kau tetap kebanggaan kami #AgusSilvy,Not,Jasson
198,positive,Agus-Sylvi,"Ingat, fokus dan menangkan #AHY #AgusYudhoyono #RakernasDemokrat2017 #DemokratKelilingNusantara @AgusYudhoyono @SBYudhoyono",Buzzer,Jasson
199,positive,Agus-Sylvi,Rakernas Partai Demokrat bersama AHY #ahy #partaidemokrat #lombok #gilitrawangan #mataramâ€¦ https://www.instagram.com/p/BTzMrEdliY4/,Not,Jasson
200,positive,Agus-Sylvi,"Alhamdulillah.... #AHY tersambut hangat, mesra dan intim di NTB.",Buzzer,Jasson
201,positive,Agus-Sylvi,Ngawal Abang dulu keliling Ampenan #AHY #fkppi #kawal #bodyguard #military #myjob https://www.instagram.com/p/BTySqVcjLv5/,Not,Jasson
202,positive,Agus-Sylvi,Ada apa dengan #AHY knp disetiap acara nya massa membludak?Krn rakyat melihat harapan utk AHY memimpin negara ini dimasa yg dtg. #AHYforAll,Buzzer,Jasson
203,positive,Agus-Sylvi,"Kekalahan adalah sukses yg tertunda, bukan untuk disesali tapi dijadikan pengalaman tuk lebih baik lagi di masa depan #AHY",Not,Jasson
204,positive,Agus-Sylvi,Tandatangan petisi Stop Hoax dan Fitnah serta mendukung gerakan Kebebasan Pers tanpa Hoax dan fitnah. #AHY #Demokrat #demokratbersamarakyat,Not,Jasson
205,positive,Agus-Sylvi,#AHY#Demi.Indonesia,Buzzer,Jasson
206,positive,Agus-Sylvi,mestinya ya begitu ya Gus....#AHY negarawan.,Not,Jasson
207,positive,Agus-Sylvi,"Demokrat dengan cinta, untuk NKRI, #AHY dan #Demokrat berbakti.",Buzzer,Jasson
208,positive,Agus-Sylvi,#Karanganbungaahok jagoan kalah duluan ...klu gitu #Ahy dong jagoannya bukan ahok,Buzzer,Jasson
209,positive,Agus-Sylvi,#ahy,Not,Jasson
210,positive,Agus-Sylvi,Pesan #AHY jangan lupa gembira dan cinta Indonesia,Not,Jasson
211,positive,Agus-Sylvi,Salam untuk kaum muda. Hormat pada yang tua. #AHY,Not,Jasson
212,positive,Agus-Sylvi,#AHY#TheNextLeader#AHY#AdalahKita,Buzzer,Jasson
213,positive,Agus-Sylvi,Mau jalan di tempat atau berlari menyongsong masa depan dari sekarang? #AHY menyongsong masa depan,Not,Jasson
214,positive,Agus-Sylvi,"Langkah ""Kuda"" Agus Yudhoyono -> https://goo.gl/95ldom  #AHY #SBY #PartaiDemokrat #Pilakada #DKIJakarta",Not,Jasson
215,positive,Agus-Sylvi,Datang tampak muka pulang tampak punggung. Terima kasih Kepri #DemokratKelilingNusantara #AHY,Not,Jasson
216,positive,Agus-Sylvi,Aku pada #AHY pemimpin muda,Buzzer,Jasson
217,positive,Agus-Sylvi,"#AHY adalah Inspirasi Kaum Muda... ""GERAKAN INDONESIA MUDA"" menuju INDONESIA EMAS",Buzzer,Jasson
218,positive,Agus-Sylvi,Setia pada #AHY sebab politik Indonesia perlu ada regenerasi yg MATANG agar jgn ada lagi kutu loncat,Buzzer,Jasson
219,positive,Agus-Sylvi,#Setia HinggAHY akhir #Harapan #MasaDepanBangsa @PDemokrat @SBYudhoyono @hincapandjaitan @ranabaja @hariswijaya1975 @Edhie_Baskoro,Buzzer,Jasson
220,positive,Agus-Sylvi,#AHY menyapa #Selamatpagi INDONESIA @PDemokrat @SBYudhoyono @hincapandjaitan @edhiewibowo_55 @Edhie_Baskoro @isari68 @ranabaja,Not,Jasson
221,positive,Agus-Sylvi,#AHY Harapan & masa dpn Bangsa @hincapandjaitan @SBYudhoyono @AgusYudhoyono @PDemokrat @hariswijaya1975 @ranabaja @isari68 @didiklpambudi,Buzzer,Jasson
222,positive,Agus-Sylvi,#Puisi Putri #AHY dan Para Wanita Penginspirasi http://obsessionnews.com/puisi-putri-ahy-dan-para-wanita-penginspirasi/ â€¦ #SBY #Demokrat,Not,Jasson
223,positive,Agus-Sylvi,Keren #AHY,Buzzer,Jasson
224,positive,Agus-Sylvi,"Wartawan tanya apa u Pilkada 2018 mendatang, Mas @AgusYudhoyono akan ikut? Dijawab Mas #AHY sampai skg belum terpikir u ikut Pilkada lainnya",Not,Jasson
225,positive,Agus-Sylvi,Mas Agus kasih kuliah umum nih #AHY,Not,Jasson
226,positive,Agus-Sylvi,"Kuliah umum ""mahasiswa perspektif untuk masa depan"" #AHY (at UMRAH DOMPAK) â€”",Not,Jasson
227,positive,Agus-Sylvi,insya allah tidak mendahului Tuhan..bakal ada yg nglamar #AHY ...,Buzzer,Jasson
228,positive,Agus-Sylvi,Hmmmm calon tokoh dunia #AHY,Buzzer,Jasson
229,positive,Agus-Sylvi,Kini #AHY Lebih Gembira,Not,Jasson
230,positive,Agus-Sylvi,Terimakasih kpada pendukung #AHY yang tlah memberikan suaranya kepada @aniesbaswedan | @sandiuno #SemogaAmanah #JakartauntukRakyat,Buzzer,Jasson
231,positive,Agus-Sylvi,bisa dipastikan sebagian besar voter #AHY akhirnya memilih @aniesbaswedan #pilkadaDKI #indonesia #saveNKRI,Buzzer,Jasson
232,positive,Agus-Sylvi,Dan kita tetap #AHY,Not,Jasson
233,positive,Agus-Sylvi,"Logikanya pemilih #AHY putaran ke1 dipastikan punya psikologis yang sama dengan pemilih paslon 3, mereka ingin gubernur baru di Jakarta.",Buzzer,Jasson
234,positive,Agus-Sylvi,Suara pemilih #AHY pada putaran ke 1 terlihat memilih paslon no 3 pada puataran ke dua kali ini. Selamat Jakarta punya gubernur baru.,Buzzer,Jasson
235,positive,Agus-Sylvi,"Olahraga dulu, AHY datang ke TPS siang hari https://goo.gl/fb/ht6PDZ  #nasional #ahy #datang #dulu #hari #ke #olahraga #siang #tps",Not,Jasson
236,positive,Agus-Sylvi,AHY Bergaya Sporty  ke TPS #AHY #TPS #PilkadaDKI #lampost,Not,Jasson
237,positive,Agus-Sylvi,"Saat #PilkadaDKI Putaran Pertama, kita melihat bgm #AHY menunjukkan kelasnya sbg pemimpin yg berbesar hati",Buzzer,Jasson
238,positive,Agus-Sylvi,Setelah sebelumnya tidak pernah peduli #AHY,Not,Jasson
239,positive,Agus-Sylvi,Sebagian kecil pendukung #AHY ada yg dukung Ahok. Basis massa mayoritas kemungkinan lebih pilih Anies. Kunci kemenangan tipis bagi Anies.,Buzzer,Jasson
240,positive,Agus-Sylvi,Bagaimana pun suara Pendukung #AHY akan menentukan kemenangan salah satu Paslon.,Buzzer,Jasson
241,positive,Agus-Sylvi,Semoga pemilih #AHY di putaran 1 di Kebon Kacang dan Kp. Bali beralih ke Anies-Sandi. #JakartaCoblos3,Buzzer,Jasson
242,positive,Agus-Sylvi,Yuk #AHY Fans dukung dan menangkan #GubernurMuslim,Buzzer,Jasson
243,positive,Agus-Sylvi,"Bismillah, semoga esok Hari Jakarta memiliki pemimpin yang sesuai tuntunan AlQuran, diridhai Alloh swt",Buzzer,Jasson
244,positive,Agus-Sylvi,"bu Sylvi adalah contoh keberanian betawi utk dalam bersikap, ngga ngambang atau banci. Contoh perempuan betawi tulen !",Buzzer,Jasson
245,positive,Agus-Sylvi,"saya putaran pertama dukung ibu dan mas agus,, yah lebih baik kalah dengan terhormat daripada menang karena curang",Buzzer,Jasson
246,positive,Agus-Sylvi,"Begitu tulus, begitu menyenangkan... Insyaallah ada jalan bu @sylviana_murni",Buzzer,Jasson
247,positive,Agus-Sylvi,"#AHY Pemimpin, harapan, masa depan Bangsa. @SBYudhoyono @AgusYudhoyono @Edhie_Baskoro @hincapandjaitan @isari68",Buzzer,Jasson
248,positive,Agus-Sylvi,#ahy terbaik,Buzzer,Jasson
249,positive,Agus-Sylvi,"Postingan 28 Januari 2017, meneduhkan. Tetep #AHY",Not,Jasson
250,positive,Agus-Sylvi,"Salam ""Wallahulmuwafiq IlaAqwamithoriq @sandiuno mencerminkan beliau NU sejak itu saya jatuh hati meski waktu itu saya #AHY @AgusYudhoyono",Not,Jasson
251,positive,Agus-Sylvi,Saya selalu suka dengan orang yang berjiwa besar #AHY,Buzzer,Jasson
252,positive,Agus-Sylvi,@AhyCenter AHY R1 2019.. boleh kalah di Pilgub #AHY @Agus_Yudhoyono,Buzzer,Jasson
253,positive,Agus-Sylvi,"WalauPun kau kalah,Kami tetap bangga sekali padamu #AHY,JalanMu masih panjang,Kesuksesan yang lebih baik menantimu Disaat yang tepat.",Not,Jasson
254,positive,Agus-Sylvi,#ahy aku pribadi kagum atas pribadi mu yes #bangga atas sikapmu,Buzzer,Jasson
255,positive,Agus-Sylvi,"Prananda Sebut #AHY Demokrat Sejati, Saya Kagum dan Salut  https://goo.gl/fb/8fH7wi  #nasional",Not,Jasson
256,positive,Agus-Sylvi,Waktu itu .... ah sudahlah <Frowning Face> @didienAZHAR: #AHY No. 1 <THUMBS UP> <THUMBS UP> <THUMBS UP>,Buzzer,Jasson
257,positive,Agus-Sylvi,Aku dari dulu Agus Harimurti Yudhoyono Lovers #AHYLovers Dari dulu Annisa Larasati Pohan Lovers  #ALPLovers Bukan mendadak #AHY,Buzzer,Jasson
258,positive,Agus-Sylvi,Terkadang sikap dewasa justru diajarkan oleh yang paling muda <THUMBS UP> <SMILING FACE WITH HEART-EYES> #A1 #AHY  #Awesome,Not,Jasson
259,positive,Agus-Sylvi,Bangga melihat pernyataan #AHY ini. Ksatria.,Not,Jasson
260,positive,Agus-Sylvi,"Hayoo siapa aja yang sekarang sibuk hapus2in twit mereka sebelumnya, yang jelek2in #AHY?  <FACE WITH STUCK-OUT TOUNGES> <FACE WITH TEARS OF JOY> ",Not,Jasson
261,positive,Agus-Sylvi,#AHY juga bagus programnya mengenai Persija,Not,Jasson
262,positive,Agus-Sylvi,Pingin lihat mas #AHY debat <FACE WITH STUCK-OUT TOUNGES>,Not,Jasson
263,positive,Agus-Sylvi,Wah.diam2 mereka jadi *tersepona dengan pesonanya  #AHY dan akhirnya.. #GagalFokus deh! <FACE WITH STUCK-OUT TOUNGES> #AyoAgusYudhoyono https://Twitter.com/ZaraZ,Buzzer,Jasson
264,positive,Agus-Sylvi,#AHY dukung #HariSantriNasional,Not,Jasson
265,positive,Agus-Sylvi,"Dengan kecerdasan, nasionalisme dan jiwa pancasilais yang dimiliki, #AHY bisa dikatakan memiliki Jiwa Santri, walaupun belum pernah mondok",Buzzer,Jasson
266,positive,Agus-Sylvi,Marasa beruntung sekali <SIGN OF THE HORNS> #ahy,Not,Jasson
267,positive,Agus-Sylvi,Walaupun aku pendukung Anies Sandi <OK HAND> Tapi bangga dengan jiwa besar AHY Silvy Masih ada 2019 Prabowo AHY <FOLDED HANDS> <FOLDED HANDS>,Buzzer,Jasson
268,positive,Agus-Sylvi,"AHY Sylvi selalu menang dalam hati kami pendukungnya, dengan adanya AHYSylvi membuat panik dan ketar ketir luar biasa di kubu sana  <FOLDED HANDS> <FOLDED HANDS>",Buzzer,Jasson
269,positive,Agus-Sylvi,Kemenangan Anis Sandi  <OK HAND> Adalah Kemenangan AHY Silvy dan Kaum Pribumi <HUGGING FACE> <HUGGING FACE>,Not,Jasson
270,positive,Agus-Sylvi,Masih banyak yang bisa diperbuat AHY Silvy untuk kemaslahatan bangsa ini...,Buzzer,Jasson
271,positive,Agus-Sylvi,benar kata mas #ahy @AgusYudhoyono #AniesTidakKonsisten #boongYa #DebatFinalPilkadaJKT #menolaklupa,Buzzer,Jasson
272,positive,Agus-Sylvi,"[HEBOH] Pentolan band Coldplay asal Inggris, Chris Martin, memberikan dukungan pada pasangan Agus-Sylvi #AHY di Pilkada Jakarta 2017.",Buzzer,Jasson
273,positive,Agus-Sylvi,#SekjenPartaiDemokrat@HincaPandjaitan: DiskusiPolitik&Bola Kami akan turunkan yang Terbaik untuk NKRI Kedepan #AHY@WeAreTheNextLeader#,Buzzer,Jasson
274,positive,Agus-Sylvi,Karena politik adalah bagian dari kehidupan... meski jangan terlalu banyak <Smiling Face With Smiling Eyes>,Not,Jasson
275,positive,Agus-Sylvi,#Djarot Apresiasi #AHY Relakan Relawannya Dukung #Ahok <Clapping Hands> <Clapping Hands> http://merahputih.com #merahputih #Indonesia #Jakarta #PilgubDKI #2017,Not,Jasson
276,positive,Agus-Sylvi,Kemenangan yang tertunda. Belajar dari segala kekalahan.Pernyataan yang bijaksana #AHY,Not,Jasson
277,positive,Agus-Sylvi,Politik santun dan bermartabat. <FOLDED HANDS> #AHY,Not,Jasson
278,positive,Agus-Sylvi,"Heboh, AHY muncul dengan penampilan baru @AgusYudhoyono http://beritahati.com #BERITAHATI #heboh #ahy #baru #tampilan #pilkada #nasional",Not,Jasson
279,positive,Agus-Sylvi,Gunawan dan Freely anggota DPRD Talaud ini mau pasang spanduk AHY di perbtasan Indonesia-Filipina. Lanjutkan,Buzzer,Jasson
280,positive,Agus-Sylvi,[ A H Y ] untuk semua ! . . . . . . . . #AHY #AHY4all #AHYforAll #AHYhargaMati #TNI… https://www.instagram.com,Not,Jasson
281,positive,Agus-Sylvi,"yang buat polling mbak, kami terbuka pemilih #AHY secara pribadi untuk bergabung, karena mbak bukan pengambil keputusan di timses <Smiling Face With Smiling Eyes>",Not,Jasson
282,positive,Agus-Sylvi,Sambutan hangat buat pendukung #AHY yang mau bergabung dengan kami <Smiling Face With Smiling Eyes> <FOLDED HANDS>,Not,Jasson
283,positive,Agus-Sylvi,12. #AHY dan SBY di puji dan dibela tanpa mereka merasa malu dan merasa bersalah demi mengharapkan dukungan politik dan massa demokrat!,Buzzer,Jasson
284,positive,Agus-Sylvi,"diberi nikmat bersyukur, diberi ujian bersabar.. selamat malam semuanya.. <Face Blowing a Kiss> <Face Blowing a Kiss>",Not,Jasson
285,positive,Agus-Sylvi,Bangga menjadi bagian dari perjuangannya <Face Blowing a Kiss> <Face Blowing a Kiss> #AHY,Not,Jasson
286,positive,Agus-Sylvi,Jiwa besarnya teladan bagi kita semua... <Oncoming Fist>  <Oncoming Fist>  <Face Blowing a Kiss>,Not,Jasson
287,positive,Agus-Sylvi,Saya juga dan tidak pernah nyesal dukung beliau <Face Blowing a Kiss> <Face Blowing a Kiss> malah bngga sekali kehadirannya di Republik ini #AHY,Not,Jasson
288,positive,Agus-Sylvi,Pemimpin muda masa depan #AHY  <Raising Hands> <Raising Hands> <Raising Hands>,Not,Jasson
289,positive,Agus-Sylvi,Siapapun pemenang nya AHY tetap no 1 dan selalu dihati <Smiling Face With Open Mouth & Closed Eyes> <Smiling Face With Open Mouth & Smiling Eyes> <Smiling Face With Smiling Eyes> <Face Savouring Delicious Food> <Kissing Face With Closed Eyes> <Face Blowing a Kiss> <SMILING FACE WITH HEART-EYES>  @agusyudhoyono #AHY #ahy… https://www.instagram.com,Not,Jasson
290,positive,Agus-Sylvi,Saya yakin rencana dan keputusan Allah selalu benar dan selalu lebih baik dari keputusan manusia. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes> #AHY,Not,Jasson
291,positive,Agus-Sylvi,Mas #Agus Tetap Semangat . Pendukung #Ahy Jangan Tidur . #Basuki Maju Terus InsyaAllah Menang,Buzzer,Jasson
292,positive,Agus-Sylvi,keikhlasan berkorban #AHY tak bakal sia2 non,Not,Jasson
293,positive,Agus-Sylvi,@AgusYudhoyono tetep semangat mendharma baktikan jiwa dan raga untuk negeri ini  <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>  #ahy #wpap #art,Not,Jasson
294,positive,Agus-Sylvi,"AHY, Mundur Selangkah Untuk Melompat Tinggi   https://goo.gl/2LMaBG  #News #AHY",Buzzer,Jasson
295,positive,Agus-Sylvi,Semua tetap berharap pada #AHY. Semoga semakin bersinar. Aamiin! <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,Buzzer,Jasson
296,positive,Agus-Sylvi,"Jika sudah waktu nya, akan datang untuk nya ... #AHY",Not,Jasson
297,positive,Agus-Sylvi,Membaca Strategi Politik SBY dalam Pencalonan Agus Yudhoyono #AHY,Not,Jasson
298,positive,Agus-Sylvi,Nunggu skenario selanjutnya..... #AHY,Not,Jasson
299,positive,Agus-Sylvi,Jangan kira skenario AHY cuma untuk menang Pilgub saja? AHY sudah pikirkan matang skenario jika kalah. Kalah pun dia menang sejatinya. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,Buzzer,Jasson
300,positive,Agus-Sylvi,"Bukan kah #AHY sdh menunjukkan Jiwa besar dalam hasil Pilkada yang sulit, sungguh tidak sulit untuk deklarasi ini",Buzzer,Jasson
301,negative,Ahok-Djarot,"Catat, Warga DKI Bakal Segera Merasa Kehilangan Ahok #PilkadaDKI2017",Not,Jasson
302,negative,Ahok-Djarot,"Kalau saja #AhokMenang dalam #PilkadaDKI2017 maka jelas warga DKI cukup cerdas, tak mudah diprovokasi isue SARA, tapi kok..#GombalinAhok",Not,Jasson
303,negative,Ahok-Djarot,"Hari ini kalah di #pilkadadki2017 , besok kalah dipengadilan. #penjarakanahok",Buzzer,Jasson
304,negative,Ahok-Djarot,"Sedih, kehilangan sosok gubenur yang jujur dan pekerja keras untuk melayani warganya.@basuki_btp #pilkadadki2017 #AhokKalah",Not,Jasson
305,negative,Ahok-Djarot,Ahok Kalah Telak Diseluruh TPS yang Berada di Wilayah FPI https://goo.gl/fb/KzryMF  #seruji #fokus #pilkadadki2017,Not,Jasson
306,negative,Ahok-Djarot,Ahok Menang Tipis di TPS Tempat Habib Rizieq Mencoblos https://goo.gl/fb/4FdYTd  #seruji #fokus #pilkadadki2017,Not,Jasson
307,negative,Ahok-Djarot,"Langsung deh, cuitan curang lah, black campaign lah, nongol.. Katanya legowo, itu demokrasi bukan namanya hahaa #pilkadadki2017",Not,Jasson
308,negative,Ahok-Djarot,Hasil TPS RT 011/010 RW 002 di kelurahan Pela Mampang saya sedih lihatnya. #pilkadadki2017 #ahokdjarot,Not,Jasson
309,negative,Ahok-Djarot,"#pilkadadki2017 masa tenang aja masih ada yang curang, apalagi pemilihan yaa hati2 aja, awasin tuh yang kemarin ketahuan bagi2 sembako",Not,Jasson
310,negative,Ahok-Djarot,Tidak akan diberi petunjuk orang-orang zalim. Tetap HARAM pemimpin kafir. #PilkadaDKI #pilkadadki2017 #IslamRahmatanLilAlamin,Not,Jasson
311,negative,Ahok-Djarot,Jangan harap Jakarta bebas korupsi kalau suaramu saja masih bisa dibeli #muslimvotemuslim #OTTSembakoAhok #pilihanmumasadepanmu #pilkadadki2,Not,Jasson
312,negative,Ahok-Djarot,"Syukur, lembar C6 sudah di tangan. Tidak sabar mau colok matanya Ahok. #PilkadaDKI2017",Buzzer,Jasson
313,negative,Ahok-Djarot,Penista Agama #ahok,Buzzer,Jasson
314,negative,Ahok-Djarot,"#Sembako itu kan rejeki #ahoker , kasihan mereka yang sudah dukung #ahokdjarot tapi tidak dapat #sembako . #pilkadadki2017.",Not,Jasson
315,negative,Ahok-Djarot,Ahokers tukang plintir...lihat nehh!! @basuki_btp @AhokDjarot @WagubDKI @VivaRevolusi @tempodotco @republikaonline #PilkadaDki2017,Buzzer,Jasson
316,negative,Ahok-Djarot,"#SelamatHariSembako kepada warga #Jakarta yang merayakannya. Terima sembakonya, jangan pilih pemberinya. #pilkadadki2017 @GunRomli @sahaL_AS",Not,Jasson
317,negative,Ahok-Djarot,Tidak rumit membedakan antara yang hitam dan putih dalam #PilkadaDKI2017 Sangat jelas siapa yang paling doyan gaduh,Not,Jasson
318,negative,Ahok-Djarot,Harus dan pasti Gubernur baru... Yang lama udah bosan #pilkadadki2017,Not,Jasson
319,negative,Ahok-Djarot,"Kalau saya warga DKI, maka saya akan ikut pesan Rasulullah SAW untuk menyerahkan segala sesuatu pada ahlinya. #pilkadadki2017 cc @PartaiSocm",Not,Jasson
320,negative,Ahok-Djarot,"Kalau Ahok lawannya Djarot, aku mungkin pilih Djarot karena memang Ahok perlu belajar lebih baik mengenai humas dan diplomasi #PilkadaDKI201",Not,Jasson
321,negative,Ahok-Djarot,"#Apakah ini hoaks Ingat, Muktamar NU Sudah Wajibkan Nahdliyin Pilih Pemimpin Muslim #PilkadaDKI2017",Buzzer,Jasson
322,negative,Ahok-Djarot,Jangan biarkan ini terjadi!! #Gue2 #BaDjaUntukJakarta #pilkadadki2017,Not,Jasson
323,negative,Ahok-Djarot,#Djarot Beberkan Kronologi Pengusiran Dirinya Setelah Sholat Jumat http://bit.ly/2pgp5M1 #AhokDjarot #PilkadaDki2017,Not,Jasson
324,negative,Ahok-Djarot,Hanya iblis yang ingin menghalang-halangi manusia yang mau beribadah di masjid. Tetap semangat ya pak Djarot...!! #garagaraPILKADA #pilkadaD,Not,Jasson
325,negative,Ahok-Djarot,Dilarang Pilih Cagub Nonmuslim? Habib: Pilih Djarot! #PilkadaDKI2017,Buzzer,Jasson
326,negative,Ahok-Djarot,Aneh dan makin aneh.. Sesama umat sendiri di usir #PILKADA #pilkadadki2017,Not,Jasson
327,negative,Ahok-Djarot,bagi2 sembako gratis tim @basuki_btp itu melanggar Pasal 73 Ayat 1 UU No.10 Thn 2016 #pilkadadki2017,Not,Jasson
328,negative,Ahok-Djarot,MUI Sesalkan Pemberian Gelar Sunan untuk Ahok http://dlvr.it/NtX57V  #Nasional #MUI #PilkadaDKI2017,Not,Jasson
329,negative,Ahok-Djarot,"kemungkinan yang saya lihat, #Ahok kalah di #pilkadadki2017 lebih besar daripada menang.",Not,Jasson
330,negative,Ahok-Djarot,Pengamat: Polisi Terkesan Berpihak Pada Ahok https://goo.gl/fb/lcnUH2 #seruji #fokus #pilkadadki2017,Not,Jasson
331,negative,Ahok-Djarot,Kubu BaDja Sindir Anies Soal Spanduk Jakarta Bersyariah - #PilkadaDki2017 #Ahok-Djarot #AniesBaswedan #Ahok #Jakarta,Buzzer,Jasson
332,negative,Ahok-Djarot,http://youtu.be/NkMX90Am3aY  Virall.bocah ini injak2 baju kotak2 karena merasa kecewa #WINGSTourInJakarta #pilkadadki2017 #FreeAhok,Not,Jasson
